,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Franca,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-27,Franca,0,1,0,0,0,0,0,0,0,0,1
2,2020-03-28,Franca,0,1,0,0,0,0,0,0,0,0,1
3,2020-03-29,Franca,0,1,0,0,0,0,0,0,0,0,1
4,2020-03-30,Franca,0,1,0,0,0,0,0,0,0,0,1
5,2020-03-31,Franca,1,2,0,0,0,0,0,0,0,0,2
6,2020-04-01,Franca,0,2,0,0,0,0,0,0,0,0,2
7,2020-04-02,Franca,1,3,0,0,0,0,0,0,0,0,3
8,2020-04-03,Franca,0,3,0,0,0,0,0,0,0,0,3
9,2020-04-04,Franca,1,4,0,0,0,0,0,0,0,0,4
10,2020-04-05,Franca,0,4,0,0,0,0,0,0,0,0,4
11,2020-04-06,Franca,0,4,0,0,0,0,0,0,0,0,4
12,2020-04-07,Franca,1,5,0,0,0,0,0,0,0,0,5
13,2020-04-08,Franca,0,5,0,0,0,0,0,0,0,0,5
14,2020-04-09,Franca,0,5,0,0,0,0,0,0,5,5,0
15,2020-04-10,Franca,1,6,0,0,0,0,0,0,6,1,0
16,2020-04-11,Franca,0,6,0,0,0,0,0,0,6,0,0
17,2020-04-12,Franca,0,6,0,0,0,0,0,0,6,0,0
18,2020-04-13,Franca,1,7,1,1,0,0,0,0,7,1,-1
19,2020-04-14,Franca,0,7,0,1,0,0,0,0,6,-1,0
20,2020-04-15,Franca,1,8,0,1,0,0,0,0,7,1,0
21,2020-04-16,Franca,0,8,0,1,0,0,0,0,7,0,0
22,2020-04-17,Franca,2,10,0,1,0,0,0,0,9,2,0
23,2020-04-18,Franca,0,10,0,1,0,0,0,0,9,0,0
24,2020-04-19,Franca,0,10,0,1,0,0,0,0,9,0,0
25,2020-04-20,Franca,0,10,0,1,0,0,0,0,9,0,0
26,2020-04-21,Franca,0,10,0,1,0,0,0,0,9,0,0
27,2020-04-22,Franca,0,10,0,1,0,0,0,0,9,0,0
28,2020-04-23,Franca,1,11,0,1,0,0,0,0,10,1,0
29,2020-04-24,Franca,1,12,0,1,0,0,0,0,11,1,0
30,2020-04-25,Franca,0,12,1,2,0,0,0,0,11,0,-1
31,2020-04-26,Franca,0,12,0,2,0,0,0,0,10,-1,0
32,2020-04-27,Franca,8,20,0,2,0,0,0,0,18,8,0
33,2020-04-28,Franca,9,29,0,2,0,0,0,0,27,9,0
34,2020-04-29,Franca,7,36,0,2,0,0,0,0,34,7,0
35,2020-04-30,Franca,2,38,0,2,0,0,0,0,36,2,0
36,2020-05-01,Franca,3,41,0,2,0,0,0,0,39,3,0
37,2020-05-02,Franca,1,42,0,2,0,0,0,0,40,1,0
38,2020-05-03,Franca,1,43,0,2,0,0,0,0,41,1,0
39,2020-05-04,Franca,2,45,0,2,0,0,0,0,43,2,0
40,2020-05-05,Franca,0,45,0,2,0,0,0,0,43,0,0
41,2020-05-06,Franca,5,50,0,2,0,0,0,0,48,5,0
42,2020-05-07,Franca,5,55,0,2,0,0,0,0,53,5,0
43,2020-05-08,Franca,4,59,0,2,0,0,0,0,57,4,0
44,2020-05-09,Franca,0,59,1,3,0,0,0,0,57,0,-1
45,2020-05-10,Franca,0,59,0,3,0,0,0,0,56,-1,0
46,2020-05-11,Franca,3,62,0,3,0,0,0,0,59,3,0
47,2020-05-12,Franca,0,62,0,3,0,0,0,0,59,0,0
48,2020-05-13,Franca,8,70,0,3,0,0,0,0,67,8,0
49,2020-05-14,Franca,0,70,0,3,0,0,0,0,67,0,0
50,2020-05-15,Franca,2,72,0,3,0,0,0,0,69,2,0
51,2020-05-16,Franca,1,73,0,3,0,0,0,0,70,1,0
52,2020-05-17,Franca,1,74,0,3,0,0,0,0,71,1,0
53,2020-05-18,Franca,6,80,0,3,0,0,0,0,77,6,0
54,2020-05-19,Franca,0,80,0,3,0,0,0,0,77,0,0
55,2020-05-20,Franca,7,87,0,3,0,0,0,0,84,7,0
56,2020-05-21,Franca,0,87,0,3,0,0,0,0,84,0,0
57,2020-05-22,Franca,3,90,0,3,0,0,0,0,87,3,0
58,2020-05-23,Franca,3,93,0,3,0,0,0,0,90,3,0
59,2020-05-24,Franca,1,94,0,3,0,0,0,0,91,1,0
60,2020-05-25,Franca,0,94,0,3,0,0,0,0,91,0,0
61,2020-05-26,Franca,5,99,0,3,0,0,0,0,96,5,0
62,2020-05-27,Franca,4,103,0,3,0,0,0,0,100,4,0
63,2020-05-28,Franca,9,112,0,3,0,0,0,0,109,9,0
64,2020-05-29,Franca,7,119,0,3,0,0,0,0,116,7,0
65,2020-05-30,Franca,5,124,0,3,0,0,0,0,121,5,0
66,2020-05-31,Franca,1,125,0,3,0,0,0,0,122,1,0
67,2020-06-01,Franca,7,132,0,3,0,0,0,0,129,7,0
