,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,São João da Boa Vista,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-27,São João da Boa Vista,0,0,0,0,0,0,0,0,0,0,0
2,2020-03-28,São João da Boa Vista,0,0,0,0,0,0,0,0,0,0,0
3,2020-03-29,São João da Boa Vista,0,0,0,0,0,0,0,0,0,0,0
4,2020-03-30,São João da Boa Vista,0,4,0,0,0,0,0,0,0,0,4
5,2020-03-31,São João da Boa Vista,0,4,0,0,0,0,0,0,0,0,4
6,2020-04-01,São João da Boa Vista,0,4,0,0,0,0,0,0,0,0,4
7,2020-04-02,São João da Boa Vista,1,5,0,0,0,0,0,0,0,0,5
8,2020-04-03,São João da Boa Vista,0,5,0,0,0,0,0,0,0,0,5
9,2020-04-04,São João da Boa Vista,0,5,0,0,0,0,0,0,0,0,5
10,2020-04-05,São João da Boa Vista,0,5,0,0,0,0,0,0,0,0,5
11,2020-04-06,São João da Boa Vista,1,6,0,0,0,0,0,0,0,0,6
12,2020-04-07,São João da Boa Vista,0,6,1,1,0,0,0,0,0,0,5
13,2020-04-08,São João da Boa Vista,2,8,0,1,0,0,0,0,0,0,7
14,2020-04-09,São João da Boa Vista,4,12,0,1,0,0,0,0,11,11,0
15,2020-04-10,São João da Boa Vista,4,16,0,1,0,0,0,0,15,4,0
16,2020-04-11,São João da Boa Vista,0,16,0,1,0,0,0,0,15,0,0
17,2020-04-12,São João da Boa Vista,2,18,0,1,0,0,0,0,17,2,0
18,2020-04-13,São João da Boa Vista,0,18,0,1,0,0,0,0,17,0,0
19,2020-04-14,São João da Boa Vista,0,18,0,1,0,0,0,0,17,0,0
20,2020-04-15,São João da Boa Vista,3,21,0,1,0,0,0,0,20,3,0
21,2020-04-16,São João da Boa Vista,1,22,0,1,0,0,0,0,21,1,0
22,2020-04-17,São João da Boa Vista,1,23,0,1,0,0,0,0,22,1,0
23,2020-04-18,São João da Boa Vista,0,23,0,1,0,0,0,0,22,0,0
24,2020-04-19,São João da Boa Vista,2,25,0,1,0,0,0,0,24,2,0
25,2020-04-20,São João da Boa Vista,1,26,0,1,0,0,0,0,25,1,0
26,2020-04-21,São João da Boa Vista,4,30,0,1,0,0,0,0,29,4,0
27,2020-04-22,São João da Boa Vista,3,33,0,1,0,0,0,0,32,3,0
28,2020-04-23,São João da Boa Vista,6,39,1,2,0,0,0,0,38,6,-1
29,2020-04-24,São João da Boa Vista,6,45,0,2,0,0,0,0,43,5,0
30,2020-04-25,São João da Boa Vista,1,46,0,2,0,0,0,0,44,1,0
31,2020-04-26,São João da Boa Vista,0,46,0,2,0,0,0,0,44,0,0
32,2020-04-27,São João da Boa Vista,0,46,0,2,0,0,0,0,44,0,0
33,2020-04-28,São João da Boa Vista,1,47,0,2,0,0,0,0,45,1,0
34,2020-04-29,São João da Boa Vista,3,50,0,2,0,0,0,0,48,3,0
35,2020-04-30,São João da Boa Vista,2,52,0,2,0,0,0,0,50,2,0
36,2020-05-01,São João da Boa Vista,0,52,0,2,0,0,0,0,50,0,0
37,2020-05-02,São João da Boa Vista,0,52,0,2,0,0,0,0,50,0,0
38,2020-05-03,São João da Boa Vista,0,52,0,2,0,0,0,0,50,0,0
39,2020-05-04,São João da Boa Vista,3,55,0,2,0,0,0,0,53,3,0
40,2020-05-05,São João da Boa Vista,3,58,0,2,0,0,0,0,56,3,0
41,2020-05-06,São João da Boa Vista,1,59,0,2,0,0,0,0,57,1,0
42,2020-05-07,São João da Boa Vista,1,60,0,2,0,0,0,0,58,1,0
43,2020-05-08,São João da Boa Vista,0,60,0,2,0,0,0,0,58,0,0
44,2020-05-09,São João da Boa Vista,2,62,0,2,0,0,0,0,60,2,0
45,2020-05-10,São João da Boa Vista,1,63,0,2,0,0,0,0,61,1,0
46,2020-05-11,São João da Boa Vista,5,68,0,2,0,0,0,0,66,5,0
47,2020-05-12,São João da Boa Vista,1,69,1,3,0,0,0,0,67,1,-1
48,2020-05-13,São João da Boa Vista,4,73,1,4,0,0,0,0,70,3,-1
49,2020-05-14,São João da Boa Vista,4,77,1,5,0,0,0,0,73,3,-1
50,2020-05-15,São João da Boa Vista,6,83,1,6,0,0,0,0,78,5,-1
51,2020-05-16,São João da Boa Vista,1,84,0,6,0,0,0,0,78,0,0
52,2020-05-17,São João da Boa Vista,1,85,0,6,0,0,0,0,79,1,0
53,2020-05-18,São João da Boa Vista,14,99,1,7,0,0,0,0,93,14,-1
54,2020-05-19,São João da Boa Vista,1,100,0,7,0,0,0,0,93,0,0
55,2020-05-20,São João da Boa Vista,5,105,2,9,0,0,0,0,98,5,-2
56,2020-05-21,São João da Boa Vista,6,111,0,9,0,0,0,0,102,4,0
57,2020-05-22,São João da Boa Vista,9,120,0,9,0,0,0,0,111,9,0
58,2020-05-23,São João da Boa Vista,5,125,0,9,0,0,0,0,116,5,0
59,2020-05-24,São João da Boa Vista,1,126,0,9,0,0,0,0,117,1,0
60,2020-05-25,São João da Boa Vista,9,135,0,9,0,0,0,0,126,9,0
61,2020-05-26,São João da Boa Vista,13,148,0,9,0,0,0,0,139,13,0
62,2020-05-27,São João da Boa Vista,13,161,0,9,0,0,0,0,152,13,0
63,2020-05-28,São João da Boa Vista,6,167,1,10,0,0,0,0,158,6,-1
64,2020-05-29,São João da Boa Vista,22,189,0,10,0,0,0,0,179,21,0
65,2020-05-30,São João da Boa Vista,0,189,0,10,0,0,0,0,179,0,0
66,2020-05-31,São João da Boa Vista,1,190,0,10,0,0,0,0,180,1,0
67,2020-06-01,São João da Boa Vista,9,199,0,10,0,0,0,0,189,9,0
68,2020-06-02,São João da Boa Vista,8,207,0,10,0,0,0,0,197,8,0
69,2020-06-03,São João da Boa Vista,9,216,0,10,0,0,0,0,206,9,0
70,2020-06-04,São João da Boa Vista,11,227,0,10,0,0,0,0,217,11,0
71,2020-06-05,São João da Boa Vista,8,235,0,10,0,0,0,0,225,8,0
72,2020-06-06,São João da Boa Vista,7,242,0,10,0,0,0,0,232,7,0
73,2020-06-07,São João da Boa Vista,8,250,1,11,0,0,0,0,240,8,-1
74,2020-06-08,São João da Boa Vista,14,264,1,12,0,0,0,0,253,13,-1
75,2020-06-09,São João da Boa Vista,22,286,1,13,0,0,0,0,274,21,-1
76,2020-06-10,São João da Boa Vista,13,299,0,13,0,0,0,0,286,12,0
77,2020-06-11,São João da Boa Vista,9,308,1,14,0,0,0,0,295,9,-1
78,2020-06-12,São João da Boa Vista,7,315,0,14,0,0,0,0,301,6,0
79,2020-06-13,São João da Boa Vista,9,324,2,16,0,0,0,0,310,9,-2
80,2020-06-14,São João da Boa Vista,9,333,1,17,0,0,0,0,317,7,-1
81,2020-06-15,São João da Boa Vista,15,348,1,18,0,0,0,0,331,14,-1
82,2020-06-16,São João da Boa Vista,20,368,1,19,0,0,0,0,350,19,-1
83,2020-06-17,São João da Boa Vista,30,398,1,20,0,0,0,0,379,29,-1
84,2020-06-18,São João da Boa Vista,22,420,1,21,0,0,0,0,400,21,-1
85,2020-06-19,São João da Boa Vista,21,441,0,21,0,0,0,0,420,20,0
86,2020-06-20,São João da Boa Vista,38,479,1,22,0,0,0,0,458,38,-1
