,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Piracicaba,0,1,0,0,0,0,0,0,0,0,1
1,2020-03-27,Piracicaba,0,1,0,0,0,0,0,0,0,0,1
2,2020-03-28,Piracicaba,0,1,0,0,0,0,0,0,0,0,1
3,2020-03-29,Piracicaba,0,1,0,0,0,0,0,0,0,0,1
4,2020-03-30,Piracicaba,0,1,0,0,0,0,0,0,0,0,1
5,2020-03-31,Piracicaba,0,14,0,0,0,0,0,0,0,0,14
6,2020-04-01,Piracicaba,0,14,0,0,0,0,0,0,0,0,14
7,2020-04-02,Piracicaba,2,16,0,0,0,0,0,0,0,0,16
8,2020-04-03,Piracicaba,0,16,0,0,0,0,0,0,0,0,16
9,2020-04-04,Piracicaba,0,16,0,0,0,0,0,0,0,0,16
10,2020-04-05,Piracicaba,0,18,0,0,0,0,0,0,0,0,18
11,2020-04-06,Piracicaba,5,23,0,0,0,0,0,0,0,0,23
12,2020-04-07,Piracicaba,2,25,0,0,0,0,0,0,0,0,25
13,2020-04-08,Piracicaba,2,27,0,0,0,0,0,0,0,0,27
14,2020-04-09,Piracicaba,8,35,0,0,0,0,0,0,1,1,34
15,2020-04-10,Piracicaba,6,41,0,0,0,0,0,0,1,0,40
16,2020-04-11,Piracicaba,0,41,1,1,0,0,0,0,1,0,39
17,2020-04-12,Piracicaba,5,46,2,3,0,0,0,0,1,0,42
18,2020-04-13,Piracicaba,0,46,2,5,0,0,0,0,1,0,40
19,2020-04-14,Piracicaba,9,55,0,5,0,0,0,0,14,13,36
20,2020-04-15,Piracicaba,0,55,0,5,0,0,0,0,14,0,36
21,2020-04-16,Piracicaba,8,63,2,7,0,0,0,0,16,2,40
22,2020-04-17,Piracicaba,5,68,0,7,0,0,0,0,16,0,45
23,2020-04-18,Piracicaba,1,69,0,7,0,0,0,0,16,0,46
24,2020-04-19,Piracicaba,4,73,0,7,0,0,0,0,18,2,48
25,2020-04-20,Piracicaba,10,83,2,9,0,0,0,0,23,5,51
26,2020-04-21,Piracicaba,8,91,0,9,0,0,0,0,25,2,57
27,2020-04-22,Piracicaba,18,109,0,9,0,0,0,0,27,2,73
28,2020-04-23,Piracicaba,17,126,2,11,0,0,0,0,35,8,80
29,2020-04-24,Piracicaba,12,138,1,12,0,0,0,0,41,6,85
30,2020-04-25,Piracicaba,5,143,0,12,0,0,0,0,40,-1,91
31,2020-04-26,Piracicaba,13,156,1,13,0,0,0,0,43,3,100
32,2020-04-27,Piracicaba,10,166,5,18,0,0,0,0,41,-2,107
33,2020-04-28,Piracicaba,13,179,1,19,0,0,0,0,50,9,110
34,2020-04-29,Piracicaba,24,203,1,20,0,0,0,0,50,0,133
35,2020-04-30,Piracicaba,7,210,0,20,0,0,0,0,56,6,134
36,2020-05-01,Piracicaba,9,219,0,20,0,0,0,0,61,5,138
37,2020-05-02,Piracicaba,20,239,1,21,0,0,0,0,62,1,156
