,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Araçatuba,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-27,Araçatuba,0,0,0,0,0,0,0,0,0,0,0
2,2020-03-28,Araçatuba,0,0,0,0,0,0,0,0,0,0,0
3,2020-03-29,Araçatuba,0,0,0,0,0,0,0,0,0,0,0
4,2020-03-30,Araçatuba,0,1,0,0,0,0,0,0,0,0,1
5,2020-03-31,Araçatuba,1,2,0,0,0,0,0,0,0,0,2
6,2020-04-01,Araçatuba,0,2,0,0,0,0,0,0,0,0,2
7,2020-04-02,Araçatuba,0,2,0,0,0,0,0,0,0,0,2
8,2020-04-03,Araçatuba,3,5,0,0,0,0,0,0,0,0,5
9,2020-04-04,Araçatuba,0,6,0,1,0,0,0,0,0,0,5
10,2020-04-05,Araçatuba,0,6,0,1,0,0,0,0,0,0,5
11,2020-04-06,Araçatuba,5,11,0,1,0,0,0,0,0,0,10
12,2020-04-07,Araçatuba,4,15,0,1,0,0,0,0,0,0,14
13,2020-04-08,Araçatuba,1,16,0,1,0,0,0,0,0,0,15
14,2020-04-09,Araçatuba,1,17,0,1,0,0,0,0,0,0,16
15,2020-04-10,Araçatuba,0,17,0,1,0,0,0,0,0,0,16
16,2020-04-11,Araçatuba,5,22,0,1,0,0,0,0,0,0,21
17,2020-04-12,Araçatuba,0,22,0,1,0,0,0,0,0,0,21
18,2020-04-13,Araçatuba,3,25,0,1,0,0,0,0,1,1,23
19,2020-04-14,Araçatuba,6,31,0,1,0,0,0,0,2,1,28
20,2020-04-15,Araçatuba,2,33,0,1,0,0,0,0,2,0,30
21,2020-04-16,Araçatuba,4,37,0,1,0,0,0,0,2,0,34
22,2020-04-17,Araçatuba,1,39,0,1,0,0,0,0,5,3,33
23,2020-04-18,Araçatuba,0,39,0,1,0,0,0,0,5,0,33
24,2020-04-19,Araçatuba,1,40,1,2,0,0,0,0,5,0,33
25,2020-04-20,Araçatuba,9,49,1,3,0,0,0,0,10,5,36
26,2020-04-21,Araçatuba,0,49,0,3,0,0,0,0,14,4,32
27,2020-04-22,Araçatuba,1,50,0,3,0,0,0,0,15,1,32
28,2020-04-23,Araçatuba,1,51,0,3,0,0,0,0,16,1,32
29,2020-04-24,Araçatuba,5,56,1,4,0,0,0,0,16,0,36
30,2020-04-25,Araçatuba,1,57,0,4,0,0,0,0,21,5,32
31,2020-04-26,Araçatuba,0,57,0,4,0,0,0,0,21,0,32
32,2020-04-27,Araçatuba,2,59,0,4,0,0,0,0,24,3,31
33,2020-04-28,Araçatuba,2,61,0,4,0,0,0,0,30,6,27
34,2020-04-29,Araçatuba,0,61,0,4,0,0,0,0,32,2,25
35,2020-04-30,Araçatuba,7,68,0,4,0,0,0,0,36,4,28
36,2020-05-01,Araçatuba,2,70,0,4,0,0,0,0,38,2,28
37,2020-05-02,Araçatuba,1,71,1,5,0,0,0,0,38,0,28
38,2020-05-03,Araçatuba,0,71,1,6,0,0,0,0,38,0,27
39,2020-05-04,Araçatuba,7,78,0,6,0,0,0,0,46,8,26
40,2020-05-05,Araçatuba,1,79,0,6,0,0,0,0,46,0,27
