,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Grande SP Sudeste,0,41,0,1,0,0,0,0,0,0,40
1,2020-03-27,Grande SP Sudeste,10,51,0,1,0,0,0,0,0,0,50
2,2020-03-28,Grande SP Sudeste,1,52,0,1,0,0,0,0,0,0,51
3,2020-03-29,Grande SP Sudeste,7,59,1,2,0,0,0,0,0,0,57
4,2020-03-30,Grande SP Sudeste,29,88,1,3,0,0,0,0,0,0,85
5,2020-03-31,Grande SP Sudeste,24,122,3,6,0,0,0,0,0,0,116
6,2020-04-01,Grande SP Sudeste,16,138,1,7,0,0,0,0,0,0,131
7,2020-04-02,Grande SP Sudeste,13,151,1,8,0,0,0,0,0,0,143
8,2020-04-03,Grande SP Sudeste,17,168,4,12,0,0,0,0,0,0,156
9,2020-04-04,Grande SP Sudeste,31,199,1,13,0,0,0,0,0,0,186
10,2020-04-05,Grande SP Sudeste,6,205,0,13,0,0,0,0,0,0,192
11,2020-04-06,Grande SP Sudeste,43,248,6,19,0,0,0,0,0,0,229
12,2020-04-07,Grande SP Sudeste,22,270,4,23,0,0,0,0,0,0,247
13,2020-04-08,Grande SP Sudeste,34,304,1,24,0,0,0,0,0,0,280
14,2020-04-09,Grande SP Sudeste,50,354,5,29,0,0,0,0,40,40,285
15,2020-04-10,Grande SP Sudeste,15,369,0,29,0,0,0,0,50,10,290
16,2020-04-11,Grande SP Sudeste,50,419,1,30,0,0,0,0,51,1,338
17,2020-04-12,Grande SP Sudeste,7,426,1,31,0,0,0,0,57,6,338
18,2020-04-13,Grande SP Sudeste,72,498,5,36,0,0,0,0,85,28,377
19,2020-04-14,Grande SP Sudeste,77,575,5,41,0,0,0,0,116,31,418
20,2020-04-15,Grande SP Sudeste,78,653,1,42,0,0,0,0,131,15,480
21,2020-04-16,Grande SP Sudeste,41,694,11,53,0,0,0,0,143,12,498
22,2020-04-17,Grande SP Sudeste,113,807,6,59,0,0,0,0,156,13,592
23,2020-04-18,Grande SP Sudeste,39,846,0,59,0,0,0,0,186,30,601
24,2020-04-19,Grande SP Sudeste,44,890,1,60,0,0,0,0,192,6,638
25,2020-04-20,Grande SP Sudeste,79,969,7,67,0,0,0,0,229,37,673
26,2020-04-21,Grande SP Sudeste,52,1021,2,69,0,0,0,0,247,18,705
27,2020-04-22,Grande SP Sudeste,30,1051,6,75,0,0,0,0,280,33,696
28,2020-04-23,Grande SP Sudeste,64,1115,10,85,0,0,0,0,325,45,705
29,2020-04-24,Grande SP Sudeste,139,1254,12,97,0,0,0,0,340,15,817
30,2020-04-25,Grande SP Sudeste,55,1309,7,104,0,0,0,0,389,49,816
31,2020-04-26,Grande SP Sudeste,71,1380,2,106,0,0,0,0,395,6,879
32,2020-04-27,Grande SP Sudeste,39,1419,15,121,0,0,0,0,462,67,836
33,2020-04-28,Grande SP Sudeste,140,1559,20,141,0,0,0,0,534,72,884
34,2020-04-29,Grande SP Sudeste,123,1682,19,160,0,0,0,0,611,77,911
35,2020-04-30,Grande SP Sudeste,86,1768,13,173,0,0,0,0,641,30,954
36,2020-05-01,Grande SP Sudeste,146,1914,4,177,0,0,0,0,748,107,989
37,2020-05-02,Grande SP Sudeste,52,1966,7,184,0,0,0,0,787,39,995
38,2020-05-03,Grande SP Sudeste,56,2022,3,187,0,0,0,0,830,43,1005
39,2020-05-04,Grande SP Sudeste,157,2179,13,200,0,0,0,0,902,72,1077
40,2020-05-05,Grande SP Sudeste,105,2284,13,213,0,0,0,0,952,50,1119
41,2020-05-06,Grande SP Sudeste,67,2351,11,224,0,0,0,0,976,24,1151
42,2020-05-07,Grande SP Sudeste,119,2470,14,238,0,0,0,0,1030,54,1202
43,2020-05-08,Grande SP Sudeste,143,2613,11,249,0,0,0,0,1157,127,1207
44,2020-05-09,Grande SP Sudeste,105,2718,6,255,0,0,0,0,1205,48,1258
45,2020-05-10,Grande SP Sudeste,70,2788,4,259,0,0,0,0,1274,69,1255
46,2020-05-11,Grande SP Sudeste,149,2937,16,275,0,0,0,0,1298,24,1364
47,2020-05-12,Grande SP Sudeste,116,3053,12,287,0,0,0,0,1418,120,1348
48,2020-05-13,Grande SP Sudeste,149,3202,19,306,0,0,0,0,1522,104,1374
49,2020-05-14,Grande SP Sudeste,105,3307,15,321,0,0,0,0,1595,73,1391
50,2020-05-15,Grande SP Sudeste,143,3450,28,349,0,0,0,0,1737,142,1364
51,2020-05-16,Grande SP Sudeste,145,3595,14,363,0,0,0,0,1782,45,1450
52,2020-05-17,Grande SP Sudeste,83,3678,14,377,0,0,0,0,1835,53,1466
53,2020-05-18,Grande SP Sudeste,270,3948,9,386,0,0,0,0,1979,144,1583
54,2020-05-19,Grande SP Sudeste,200,4148,19,405,0,0,0,0,2071,92,1672
55,2020-05-20,Grande SP Sudeste,203,4351,15,420,0,0,0,0,2127,56,1804
56,2020-05-21,Grande SP Sudeste,249,4600,27,447,0,0,0,0,2232,105,1921
57,2020-05-22,Grande SP Sudeste,180,4780,12,459,0,0,0,0,2364,132,1957
58,2020-05-23,Grande SP Sudeste,259,5039,12,471,0,0,0,0,2463,99,2105
59,2020-05-24,Grande SP Sudeste,134,5173,8,479,0,0,0,0,2529,66,2165
60,2020-05-25,Grande SP Sudeste,154,5327,9,488,0,0,0,0,2662,133,2177
61,2020-05-26,Grande SP Sudeste,439,5766,19,507,0,0,0,0,2766,104,2493
62,2020-05-27,Grande SP Sudeste,303,6069,16,523,0,0,0,0,2896,130,2650
63,2020-05-28,Grande SP Sudeste,337,6406,28,551,0,0,0,0,2986,90,2869
64,2020-05-29,Grande SP Sudeste,535,6941,21,572,0,0,0,0,3101,115,3268
65,2020-05-30,Grande SP Sudeste,449,7390,15,587,0,0,0,0,3232,131,3571
66,2020-05-31,Grande SP Sudeste,133,7523,7,594,0,0,0,0,3301,69,3628
67,2020-06-01,Grande SP Sudeste,295,7818,24,618,0,0,0,0,3562,261,3638
68,2020-06-02,Grande SP Sudeste,404,8222,14,632,0,0,0,0,3743,181,3847
69,2020-06-03,Grande SP Sudeste,501,8723,27,659,0,0,0,0,3931,188,4133
70,2020-06-04,Grande SP Sudeste,312,9035,32,691,0,0,0,0,4153,222,4191
71,2020-06-05,Grande SP Sudeste,269,9304,23,714,0,0,0,0,4321,168,4269
72,2020-06-06,Grande SP Sudeste,248,9552,15,729,0,0,0,0,4568,247,4255
73,2020-06-07,Grande SP Sudeste,144,9696,5,734,0,0,0,0,4694,126,4268
74,2020-06-08,Grande SP Sudeste,283,9979,20,754,0,0,0,0,4839,145,4386
75,2020-06-09,Grande SP Sudeste,303,10282,12,766,0,0,0,0,5259,420,4257
76,2020-06-10,Grande SP Sudeste,330,10612,13,779,0,0,0,0,5546,287,4287
77,2020-06-11,Grande SP Sudeste,400,11012,11,790,0,0,0,0,5855,309,4367
78,2020-06-12,Grande SP Sudeste,269,11281,9,799,0,0,0,0,6369,514,4113
79,2020-06-13,Grande SP Sudeste,346,11627,15,814,0,0,0,0,6803,434,4010
80,2020-06-14,Grande SP Sudeste,273,11900,11,825,0,0,0,0,6929,126,4146
81,2020-06-15,Grande SP Sudeste,467,12367,18,843,0,0,0,0,7200,271,4324
82,2020-06-16,Grande SP Sudeste,292,12659,17,860,0,0,0,0,7590,390,4209
83,2020-06-17,Grande SP Sudeste,237,12896,21,881,0,0,0,0,8064,474,3951
84,2020-06-18,Grande SP Sudeste,391,13287,23,904,0,0,0,0,8344,280,4039
85,2020-06-19,Grande SP Sudeste,375,13662,27,931,0,0,0,0,8590,246,4141
86,2020-06-20,Grande SP Sudeste,706,14368,14,945,0,0,0,0,8823,233,4600
87,2020-06-21,Grande SP Sudeste,128,14496,8,953,0,0,0,0,8962,139,4581
88,2020-06-22,Grande SP Sudeste,288,14784,12,965,0,0,0,0,9225,263,4594
89,2020-06-23,Grande SP Sudeste,2789,17573,24,989,0,0,0,0,9516,291,7068
90,2020-06-24,Grande SP Sudeste,730,18303,16,1005,0,0,0,0,9833,317,7465
91,2020-06-25,Grande SP Sudeste,711,19014,30,1035,0,0,0,0,10222,389,7757
92,2020-06-26,Grande SP Sudeste,891,19905,21,1056,0,0,0,0,10482,260,8367
93,2020-06-27,Grande SP Sudeste,287,20192,12,1068,0,0,0,0,10813,331,8311
94,2020-06-28,Grande SP Sudeste,263,20455,10,1078,0,0,0,0,11075,262,8302
95,2020-06-29,Grande SP Sudeste,738,21193,20,1098,0,0,0,0,11524,449,8571
96,2020-06-30,Grande SP Sudeste,819,22012,26,1124,0,0,0,0,11799,275,9089
97,2020-07-01,Grande SP Sudeste,701,22713,20,1144,0,0,0,0,12015,216,9554
98,2020-07-02,Grande SP Sudeste,705,23418,17,1161,0,0,0,0,12383,368,9874
99,2020-07-03,Grande SP Sudeste,784,24202,21,1182,0,0,0,0,12731,348,10289
100,2020-07-04,Grande SP Sudeste,1560,25762,20,1202,0,0,0,0,13423,692,11137
101,2020-07-05,Grande SP Sudeste,796,26558,11,1213,0,0,0,0,13543,120,11802
102,2020-07-06,Grande SP Sudeste,304,26376,31,1244,0,0,0,0,13819,276,11313
103,2020-07-07,Grande SP Sudeste,874,27166,17,1261,0,0,0,0,16584,2765,9321
104,2020-07-08,Grande SP Sudeste,800,27966,22,1283,0,0,0,0,17298,714,9385
105,2020-07-09,Grande SP Sudeste,381,28347,19,1302,0,0,0,0,17979,681,9066
106,2020-07-10,Grande SP Sudeste,435,28782,15,1317,0,0,0,0,18849,870,8616
107,2020-07-11,Grande SP Sudeste,210,28992,10,1327,0,0,0,0,19124,275,8541
108,2020-07-12,Grande SP Sudeste,208,29200,17,1344,0,0,0,0,19377,253,8479
109,2020-07-13,Grande SP Sudeste,501,29701,27,1371,0,0,0,0,20095,718,8235
110,2020-07-14,Grande SP Sudeste,447,30148,31,1402,0,0,0,0,20888,793,7858
111,2020-07-15,Grande SP Sudeste,418,30566,28,1430,0,0,0,0,21569,681,7567
112,2020-07-16,Grande SP Sudeste,227,30793,23,1453,0,0,0,0,22257,688,7083
113,2020-07-17,Grande SP Sudeste,613,31406,17,1470,0,0,0,0,23020,763,6916
114,2020-07-18,Grande SP Sudeste,256,31662,13,1483,0,0,0,0,24560,1540,5619
115,2020-07-19,Grande SP Sudeste,183,31845,8,1491,0,0,0,0,25345,785,5009
116,2020-07-20,Grande SP Sudeste,282,32127,30,1521,0,0,0,0,25132,-213,5474
117,2020-07-21,Grande SP Sudeste,220,32347,28,1549,0,0,0,0,25905,773,4893
118,2020-07-22,Grande SP Sudeste,2656,35003,24,1573,0,0,0,0,26683,778,6747
119,2020-07-23,Grande SP Sudeste,571,35574,30,1603,0,0,0,0,27045,362,6926
120,2020-07-24,Grande SP Sudeste,1192,36766,17,1620,0,0,0,0,27465,420,7681
121,2020-07-25,Grande SP Sudeste,123,36889,14,1634,0,0,0,0,27665,200,7590
122,2020-07-26,Grande SP Sudeste,58,35154,12,1646,0,0,0,0,27856,191,5652
123,2020-07-27,Grande SP Sudeste,2649,37803,16,1662,0,0,0,0,28330,474,7811
124,2020-07-28,Grande SP Sudeste,642,38445,9,1671,0,0,0,0,28746,416,8028
125,2020-07-29,Grande SP Sudeste,841,39286,21,1692,0,0,0,0,29136,390,8458
126,2020-07-30,Grande SP Sudeste,782,40068,8,1700,0,0,0,0,29340,204,9028
127,2020-07-31,Grande SP Sudeste,1019,41087,16,1716,0,0,0,0,29936,596,9435
128,2020-08-01,Grande SP Sudeste,748,41835,4,1720,0,0,0,0,30179,243,9936
129,2020-08-02,Grande SP Sudeste,439,42274,6,1726,0,0,0,0,30354,175,10194
130,2020-08-03,Grande SP Sudeste,298,42572,18,1744,0,0,0,0,30606,252,10222
131,2020-08-04,Grande SP Sudeste,461,43033,12,1756,0,0,0,0,30798,192,10479
132,2020-08-05,Grande SP Sudeste,763,43796,21,1777,0,0,0,0,33430,2632,8589
133,2020-08-06,Grande SP Sudeste,605,44401,17,1794,0,0,0,0,33971,541,8636
134,2020-08-07,Grande SP Sudeste,500,44901,16,1810,0,0,0,0,35146,1175,7945
135,2020-08-08,Grande SP Sudeste,365,45266,10,1820,0,0,0,0,35255,109,8191
136,2020-08-09,Grande SP Sudeste,224,45490,8,1828,0,0,0,0,33508,-1747,10154
137,2020-08-10,Grande SP Sudeste,470,45960,16,1844,0,0,0,0,36141,2633,7975
138,2020-08-11,Grande SP Sudeste,564,46524,16,1860,0,0,0,0,36774,633,7890
139,2020-08-12,Grande SP Sudeste,878,47402,15,1875,0,0,0,0,37594,820,7933
140,2020-08-13,Grande SP Sudeste,653,48055,24,1899,0,0,0,0,38368,774,7788
141,2020-08-14,Grande SP Sudeste,392,48447,15,1914,0,0,0,0,39371,1003,7162
142,2020-08-15,Grande SP Sudeste,418,48865,19,1933,0,0,0,0,40115,744,6817
143,2020-08-16,Grande SP Sudeste,234,49099,10,1943,0,0,0,0,40548,433,6608
144,2020-08-17,Grande SP Sudeste,288,49387,10,1953,0,0,0,0,40828,280,6606
145,2020-08-18,Grande SP Sudeste,710,50097,13,1966,0,0,0,0,41277,449,6854
146,2020-08-19,Grande SP Sudeste,291,50388,11,1977,0,0,0,0,42019,742,6392
147,2020-08-20,Grande SP Sudeste,667,51055,28,2005,0,0,0,0,42607,588,6443
148,2020-08-21,Grande SP Sudeste,455,51510,15,2020,0,0,0,0,43091,484,6399
149,2020-08-22,Grande SP Sudeste,297,51807,8,2028,0,0,0,0,43446,355,6333
150,2020-08-23,Grande SP Sudeste,226,52033,10,2038,0,0,0,0,43662,216,6333
151,2020-08-24,Grande SP Sudeste,363,52396,11,2049,0,0,0,0,44116,454,6231
152,2020-08-25,Grande SP Sudeste,412,52808,13,2062,0,0,0,0,44664,548,6082
153,2020-08-26,Grande SP Sudeste,561,53369,12,2074,0,0,0,0,45527,863,5768
154,2020-08-27,Grande SP Sudeste,604,53973,12,2086,0,0,0,0,46156,629,5731
155,2020-08-28,Grande SP Sudeste,533,54506,13,2099,0,0,0,0,46533,377,5874
156,2020-08-29,Grande SP Sudeste,299,54805,11,2110,0,0,0,0,46932,399,5763
157,2020-08-30,Grande SP Sudeste,59,54864,14,2124,0,0,0,0,47156,224,5584
158,2020-08-31,Grande SP Sudeste,289,55153,11,2135,0,0,0,0,47434,278,5584
159,2020-09-01,Grande SP Sudeste,594,55747,19,2154,0,0,0,0,48131,697,5462
160,2020-09-02,Grande SP Sudeste,824,56571,21,2175,0,0,0,0,48411,280,5985
161,2020-09-03,Grande SP Sudeste,583,57154,21,2196,0,0,0,0,49050,639,5908
162,2020-09-04,Grande SP Sudeste,461,57615,24,2220,0,0,0,0,49490,440,5905
163,2020-09-05,Grande SP Sudeste,214,57829,7,2227,0,0,0,0,49779,289,5823
164,2020-09-06,Grande SP Sudeste,96,57925,4,2231,0,0,0,0,49995,216,5699
165,2020-09-07,Grande SP Sudeste,85,58010,5,2236,0,0,0,0,50347,352,5427
166,2020-09-08,Grande SP Sudeste,219,58229,15,2251,0,0,0,0,50746,399,5232
167,2020-09-09,Grande SP Sudeste,323,58552,8,2259,0,0,0,0,51295,549,4998
168,2020-09-10,Grande SP Sudeste,357,58909,7,2266,0,0,0,0,51887,592,4756
169,2020-09-11,Grande SP Sudeste,244,59153,9,2275,0,0,0,0,52407,520,4471
170,2020-09-12,Grande SP Sudeste,180,59333,6,2281,0,0,0,0,52695,288,4357
171,2020-09-13,Grande SP Sudeste,12,59345,0,2281,0,0,0,0,52740,45,4324
172,2020-09-14,Grande SP Sudeste,253,59598,23,2304,0,0,0,0,53018,278,4276
173,2020-09-15,Grande SP Sudeste,501,60099,28,2332,0,0,0,0,53593,575,4174
174,2020-09-16,Grande SP Sudeste,353,60452,14,2346,0,0,0,0,54396,803,3710
175,2020-09-17,Grande SP Sudeste,215,60667,8,2354,0,0,0,0,54958,562,3355
176,2020-09-18,Grande SP Sudeste,342,61009,9,2363,0,0,0,0,55395,437,3251
177,2020-09-19,Grande SP Sudeste,213,61222,5,2368,0,0,0,0,55602,207,3252
178,2020-09-20,Grande SP Sudeste,42,61264,6,2374,0,0,0,0,55694,92,3196
179,2020-09-21,Grande SP Sudeste,160,61424,14,2388,0,0,0,0,55774,80,3262
180,2020-09-22,Grande SP Sudeste,468,61892,19,2407,0,0,0,0,55978,204,3507
181,2020-09-23,Grande SP Sudeste,368,62260,19,2426,0,0,0,0,56293,315,3541
182,2020-09-24,Grande SP Sudeste,498,62758,17,2443,0,0,0,0,56643,350,3672
183,2020-09-25,Grande SP Sudeste,181,62939,13,2456,0,0,0,0,56878,235,3605
184,2020-09-26,Grande SP Sudeste,197,63136,3,2459,0,0,0,0,57052,174,3625
185,2020-09-27,Grande SP Sudeste,45,63181,19,2478,0,0,0,0,57064,12,3639
186,2020-09-28,Grande SP Sudeste,332,63513,11,2489,0,0,0,0,57294,230,3730
187,2020-09-29,Grande SP Sudeste,383,63896,13,2502,0,0,0,0,57767,473,3627
188,2020-09-30,Grande SP Sudeste,416,64312,15,2517,0,0,0,0,58106,339,3689
189,2020-10-01,Grande SP Sudeste,203,64515,17,2534,0,0,0,0,58313,207,3668
190,2020-10-02,Grande SP Sudeste,338,64853,8,2542,0,0,0,0,58646,333,3665
191,2020-10-03,Grande SP Sudeste,276,65129,4,2546,0,0,0,0,58854,208,3729
192,2020-10-04,Grande SP Sudeste,70,65199,5,2551,0,0,0,0,58890,36,3758
193,2020-10-05,Grande SP Sudeste,347,65546,10,2561,0,0,0,0,59036,146,3949
194,2020-10-06,Grande SP Sudeste,193,65739,10,2571,0,0,0,0,59485,449,3683
195,2020-10-07,Grande SP Sudeste,323,66062,7,2578,0,0,0,0,59834,349,3650
196,2020-10-08,Grande SP Sudeste,270,66332,15,2593,0,0,0,0,60315,481,3424
197,2020-10-09,Grande SP Sudeste,316,66648,5,2598,0,0,0,0,60483,168,3567
198,2020-10-10,Grande SP Sudeste,364,67012,4,2602,0,0,0,0,60677,194,3733
199,2020-10-11,Grande SP Sudeste,75,67087,3,2605,0,0,0,0,60703,26,3779
200,2020-10-12,Grande SP Sudeste,91,67178,2,2607,0,0,0,0,61024,321,3547
201,2020-10-13,Grande SP Sudeste,240,67418,6,2613,0,0,0,0,61394,370,3411
202,2020-10-14,Grande SP Sudeste,246,67664,7,2620,0,0,0,0,61795,401,3249
203,2020-10-15,Grande SP Sudeste,602,68266,11,2631,0,0,0,0,61981,186,3654
204,2020-10-16,Grande SP Sudeste,285,68551,9,2640,0,0,0,0,62311,330,3600
205,2020-10-17,Grande SP Sudeste,127,68678,4,2644,0,0,0,0,62583,272,3451
206,2020-10-18,Grande SP Sudeste,61,68739,2,2646,0,0,0,0,62648,65,3445
207,2020-10-19,Grande SP Sudeste,517,69256,5,2651,0,0,0,0,62985,337,3620
208,2020-10-20,Grande SP Sudeste,221,69477,12,2663,0,0,0,0,63168,183,3646
209,2020-10-21,Grande SP Sudeste,217,69694,5,2668,0,0,0,0,63484,316,3542
210,2020-10-22,Grande SP Sudeste,289,69983,10,2678,0,0,0,0,63739,255,3566
211,2020-10-23,Grande SP Sudeste,342,70325,10,2688,0,0,0,0,64050,311,3587
212,2020-10-24,Grande SP Sudeste,189,70514,3,2691,0,0,0,0,64410,360,3413
213,2020-10-25,Grande SP Sudeste,51,70565,2,2693,0,0,0,0,64482,72,3390
214,2020-10-26,Grande SP Sudeste,349,70914,14,2707,0,0,0,0,64571,89,3636
215,2020-10-27,Grande SP Sudeste,343,71257,13,2720,0,0,0,0,64805,234,3732
